,countries,gdp,suicide
0,Albania,4359,3.5087398689704954
1,Argentina,11273,7.831615425158256
2,Armenia,3460,2.7277228185223588
3,Aruba,25974,7.367955708060544
4,Australia,54887,11.608080317554867
5,Austria,49181,15.862615692619654
6,Bahamas,30239,2.9951867349169885
7,Bahrain,22572,1.6678956424031741
8,Barbados,17034,1.1453572942079282
9,Belarus,6371,27.379436117228522
10,Belgium,47355,19.713703746612413
11,Belize,4923,5.285486758093842
12,Brazil,12161,5.191331250913397
13,Bulgaria,7066,11.992617350343584
14,Canada,49974,12.237449258412433
15,Chile,13874,12.703268968199358
16,Colombia,6836,5.017968590565033
17,Costa Rica,8906,7.431900728923691
18,Croatia,14232,18.458773305093313
19,Cuba,5997,14.525658017902174
20,Cyprus,32477,4.827965609638652
21,Czech Republic,20862,15.102652285161
22,Denmark,61711,10.79001913647266
23,Ecuador,5206,6.826201686565818
24,El Salvador,3318,7.175674356028186
25,Estonia,15540,17.7799039247344
26,Finland,48939,18.840745145545743
27,France,44747,17.574759996324186
28,Georgia,2775,2.670608994229577
29,Germany,43614,12.801684032816881
30,Greece,27886,3.511751419418253
31,Grenada,8118,0.0
32,Guatemala,3260,2.77555439924978
33,Guyana,3384,30.513898708741113
34,Hungary,13761,26.161432540764903
35,Iceland,45179,15.613332428212614
36,Ireland,52042,11.395458276795681
37,Israel,34104,7.007478293241069
38,Italy,36869,6.9208002804685105
39,Jamaica,5100,0.11598003906207717
40,Japan,47059,24.281072898309514
41,Kazakhstan,10062,24.529049388211252
42,Kuwait,35171,1.188439591006133
43,Kyrgyzstan,991,10.335797663117491
44,Latvia,11951,22.033234971874926
45,Lithuania,12584,34.511551368816946
46,Luxembourg,111328,11.297567466353124
47,Maldives,7806,0.30160544578792914
48,Malta,22132,7.849114695821486
49,Mauritius,8587,8.412515419368185
50,Mexico,9991,4.588392438197031
51,Netherlands,53302,10.222154046204519
52,New Zealand,36145,13.21671717458149
53,Nicaragua,1715,6.872344920446245
54,Norway,93638,11.957533300530125
55,Oman,21337,0.472995590225728
56,Panama,8991,4.611510758410281
57,Paraguay,3619,4.029123152588314
58,Philippines,2412,2.55676007363469
59,Poland,13304,17.64471210571861
60,Portugal,23673,10.917260476894548
61,Puerto Rico,28267,8.217495853181507
62,Qatar,74055,2.7817366559500756
63,Republic of Korea,22994,32.68582499721893
64,Romania,8190,13.593040009683197
65,Russian Federation,11307,24.732700024654843
66,Saint Lucia,8557,2.476734178312477
67,Saint Vincent and Grenadines,6809,4.997501249375312
68,Serbia,5682,17.37973246731293
69,Seychelles,11563,7.15264946057102
70,Singapore,66099,8.275553567434578
71,Slovakia,17387,12.25823020684355
72,Slovenia,24689,21.287820589950297
73,South Africa,8128,0.8510877898138002
74,Spain,32839,7.243890840116089
75,Suriname,9176,28.56830766386865
76,Sweden,55352,12.931926046610469
77,Switzerland,78474,13.523055801962242
78,Thailand,5707,6.292479254226268
79,Trinidad and Tobago,18000,12.99754183989953
80,Turkey,11525,2.2754714731353043
81,Turkmenistan,4962,3.9110693149146867
82,Ukraine,3141,20.992309156085845
83,United Arab Emirates,36964,1.4158640035837942
84,United Kingdom,41798,7.170799559047194
85,United States,51989,13.32758248253437
86,Uruguay,12882,17.491092972673606
87,Uzbekistan,1533,5.707205616077448
